N,K,Solver,p,seed,restart_id,is_best_restart,experiment_phase,Feasibility Ratio (%),Optimization GAP (%),gap_best_of_restarts,Sharpe Ratio In-Sample,Sharpe Ratio Out-of-Sample,Execution Time (s),objective
10,5,Gurobi,,42,,True,N_scaling,100.0,0.0,0.0,1.9841512087942927,1.3652946338832694,0.004520100002991967,-0.15659243336212664
10,5,Simulated Annealing,,42,,True,N_scaling,100.0,0.0,0.0,1.9841512087942927,1.3652946338832694,0.023330199997872114,-0.15659243336212664
10,5,Standard QAOA,3.0,42,0.0,True,N_scaling,78.7703875970673,84.64708002943159,84.64708002943159,0.4577170691410467,1.1603695006398334,0.3895797000004677,-0.02404151097405297
10,5,XY-QAOA,3.0,42,,True,N_scaling,100.0,28.930149420103902,28.930149420103902,1.8977614875648396,0.4120577759786402,0.38847619999432936,-0.11129000840988677
10,5,XY-QAOA Regularized,3.0,42,0.0,True,N_scaling,100.00000000000003,36.68112965020969,36.68112965020969,1.703026921278384,0.45922575053903764,0.3926285000052303,-0.09915255985814675
10,5,Gurobi,,43,,True,N_scaling,100.0,0.0,0.0,2.2581850222248736,0.43253568428671363,0.004236900000250898,-0.14979958196409648
10,5,Simulated Annealing,,43,,True,N_scaling,100.0,0.0,0.0,2.2581850222248736,0.43253568428671363,0.02322289999574423,-0.14979958196409648
10,5,Standard QAOA,3.0,43,0.0,True,N_scaling,74.74282134756226,0.0,0.0,2.2581850222248736,0.43253568428671363,0.39045659999828786,-0.14979958196409648
10,5,XY-QAOA,3.0,43,,True,N_scaling,100.0,4.842679251205883,4.842679251205883,1.7832940528534662,1.2919995877650503,0.3882615999900736,-0.14254526868992803
10,5,XY-QAOA Regularized,3.0,43,0.0,True,N_scaling,100.00000000000011,31.6261214300283,31.6261214300283,1.3106905336446864,1.2408312902649266,0.39615600000252016,-0.10242378427045656
10,5,Gurobi,,44,,True,N_scaling,100.0,0.0,0.0,2.3935122500685435,0.7710920968456774,0.0044138999946881086,-0.16163477628152542
10,5,Simulated Annealing,,44,,True,N_scaling,100.0,0.0,0.0,2.3935122500685435,0.7710920968456774,0.022877000010339543,-0.16163477628152542
10,5,Standard QAOA,3.0,44,0.0,True,N_scaling,83.54944709221999,80.97689358269484,80.97689358269484,0.532732976157259,-0.6639061257120945,0.38180209998972714,-0.030747955499407717
10,5,XY-QAOA,3.0,44,,True,N_scaling,100.0,0.7078939148095277,0.7078939148095277,2.3010865132512186,0.6101644451794149,0.39398479998635594,-0.1604905735360125
10,5,XY-QAOA Regularized,3.0,44,0.0,True,N_scaling,100.00000000000004,6.9982636690356745,6.9982636690356745,1.9651812885661097,0.5869480028440377,0.39471200000843965,-0.15032314845648834
10,5,Gurobi,,45,,True,N_scaling,100.0,0.0,0.0,2.4110990072052987,1.0692206612983115,0.0044797000009566545,-0.20253013181204094
10,5,Simulated Annealing,,45,,True,N_scaling,100.0,0.0,0.0,2.4110990072052987,1.0692206612983115,0.022625199999311008,-0.20253013181204094
10,5,Standard QAOA,3.0,45,0.0,True,N_scaling,86.3796561292602,78.58537045880713,78.58537045880713,0.7211464498046141,0.11462701184189553,0.400119400001131,-0.043371077436838164
10,5,XY-QAOA,3.0,45,,True,N_scaling,100.0,14.651745600082899,14.651745600082899,2.1675695421938035,0.8742549089484682,0.3958245999965584,-0.17285593213542813
10,5,XY-QAOA Regularized,3.0,45,0.0,True,N_scaling,99.99999999999996,22.433137673583307,22.433137673583307,2.2144418136067525,0.7678789171324608,0.3992337999952724,-0.15709626851215605
10,5,Gurobi,,46,,True,N_scaling,100.0,0.0,0.0,2.54119804515872,0.5405153312849689,0.004445700003998354,-0.1638608897773614
10,5,Simulated Annealing,,46,,True,N_scaling,100.0,0.0,0.0,2.54119804515872,0.5405153312849689,0.024230499999248423,-0.1638608897773614
10,5,Standard QAOA,3.0,46,0.0,True,N_scaling,37.316299229012515,0.0,0.0,1.7200668195629323,1.2627841648691445,0.3898574000049848,-0.2207209601970472
10,5,XY-QAOA,3.0,46,,True,N_scaling,100.0,16.852955692449928,16.852955692449928,1.7564453798289752,1.5801959937625687,0.3883272999955807,-0.13624548662592847
